id,message,updated_time,location,distance (km),price,total comments,link
110354088989367_1598871360137625,"Fall 2017 4-Month Sublet at the HUB
$650 - University of Waterloo

Located on Columbia and Albert, 5-10 minute walk to UW
4 Month sublet
3 bedroom apartment (two bedrooms sharing one large washroom, the other is an ensuite) 
Since you will be sharing the washroom with a female, females are preferred 
fully furnished house; TO SEE PICTURES GO TO: http://www.accommod8u.com/130-1-columbia-st

The apartment includes: 
- personal balcony connected to your bedroom
- all inclusive except hydro 

Amenities:
- amphitheatre 
- lobby
- game rooms
- gym 
- commercial vendors (promenade) 
- rooftop lounges
- on-site card laundry
- 24 hour security 

The layout picture displays the suite which is on the 7th floor",2017-09-04T17:38:36+0000, columbia,1.635,$650,80,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1598871360137625"">link</a>"
142679255268_10155258325455269,"2/2 Rooms For FALL TERM 2017
$550 - Waterloo, Ontario

All Utilities included , Unlimited Laundry , Free Unlimited Internet (100Mbps) , Semi-Furnished (Personal Study Desk and Desk Chairs, Closet, Personal Sofa Chairs) Also Included car parking for each tenant!

The rooms are super large as they were made specially, you have so much extra space that it is like your own lounge in your own room, (x3 larger than other campus residences).
3-5 min bus ride to Walmart/Sobeyes or FreshCo!
Literally 3mins walk to Zehrs and 1 minute walk to iExpress bus stop on University Ave, the bus ride is 6-8mins and goes directly to UW, 4-5 minutes to Laurier. Buses run every 15 mins,30mins depending on day and time.

All rooms Hardwood floored, with personal lock, and an Awesome backyard view with a fish pond!

Bigger Room = $600
Other Room = $550

Inbox or Text for Details!
Cell # 519-721-2393",2017-08-14T04:39:03+0000, university ave,5.175,$550,40,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155258325455269"">link</a>"
142679255268_10155260206715269,"208 Sunview St., 11th Floor, Room available for Fall
FREE - University of Waterloo

· 11th floor, great balcony
· 5 Minute walk to UW/ 10 Minutes to WLU
· Fully furnished, with 1 room available
· 2 bathrooms, and full kitchen (with dishwasher)
· Laundry and garbage shoot are on the same floor
· Right across major bus stops (7, 8, 9, 12, +)",2017-08-02T01:43:23+0000,208 sunview st,0.787,,35,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155260206715269"">link</a>"
142679255268_10155386887345269,"FALL 2017 SUBLET @ 168 King Street North
$615 - Hamilton, Ontario

FALL SUBLET: One private bedroom with ensuite bathroom, less than five minutes to Laurier. 

(Currently 4 other girls living here).

Includes:
-lock on bedroom door (keyless fob)
-bus 7 stops right outside
-study and social lounge
-onsite laundry facility
-dishwasher
-free Wifi",2017-08-30T21:24:35+0000,168 king street,1.416,$615,35,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155386887345269"">link</a>"
110354088989367_1465900146768081,"ENSUITE BATHROOM -28 Univerisity Street $595! Female unit
$595 - Waterloo, Ontario

2/5 rooms available 
- Live with ALL YOUR FRIENDS
- It is close to both universities 
- utilities included (gas, water, electricity)
- en-suite private bathrooms
-common area comes with  sofa and coffee table.

Sep-Sep:$595

Give me a call 519-745-7999
Email us, tommy.mai@atlasproperty.com",2017-07-29T17:26:22+0000,,,$595,34,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1465900146768081"">link</a>"
110354088989367_1627560277268733,"SUBLET AVAILABLE SEPT-MAY 
$577 - Kitchener, Ontario

I'm subletting my room at 173 King Street 

The unit includes 4 bedrooms all together, 2 bathrooms, washer, dryer, dishwasher

The room is furnished but you have the choice to bring your own furniture 

3 minute walk to Laurier Campus 
15 minute walk to UW

Please message if you're interested!!
Thank you",2017-08-10T13:51:03+0000,173 king street,1.368,$577,33,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1627560277268733"">link</a>"
110354088989367_1652775241413903,"Sublet @ Icon
$700 - Phillip And Columbia

4 Month Sublet @ Icon September-December
Master Bedroom with Ensuite Bathroom

Message for more details.
$700",2017-08-28T15:06:17+0000, phillip,0.921,$700,32,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1652775241413903"">link</a>"
142679255268_10153930439010269,"Hello everyone, thanks for using my app I hope it has been helpful. Believe it or not, RentBurrow was made by a non-CS solo developer (me) for the past year... I apologize if you have encountered any bugs or ugly UI/UX. Moreso, I am happy to announce that I have quit my job to work on this fulltime. Not just me, but 2 very talented friends of mine (Jimmy Zidan Guo & Vincent Chiang) have also quit their jobs and turned down offers from companies like Facebook. What we are working on is currently a secret, but we can say that it will make your life a whole lot easier. For now, please enjoy our growing library of 360' virtual tours (rentburrow.com/sage-5). We would also appreciate any suggestions or bug reports if you encounter them, just send me a fb message. Thanks for all your support Waterloo, see you soon!

=============

Hi everyone! I'm proud to present RentBurrow.com, a free web app that lets you visualize the sublet posts from this Facebook Group onto Google Maps! You can also compare 8/12 month leases to make sure you're getting the best deal. It makes finding housing A WHOLE LOT EASIER. Give it a try, I'm sure you will find it super useful!  :)

http://rentburrow.com/sublet

* Facebook login is required to see posts",2017-07-02T22:17:46+0000,sage,1.153,,31,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10153930439010269"">link</a>"
142679255268_10155389334380269,"208 Sunview St., 11th Floor, Room available for Fall
FREE - University of Waterloo

11th floor, great balcony
· 5 Minute walk to UW/ 10 Minutes to WLU
· Fully furnished, with 1 room available
· 2 bathrooms, and full kitchen (with dishwasher)
· Laundry and garbage shoot are on the same floor
· Right across major bus stops (7, 8, 9, 12, +)",2017-08-30T21:23:52+0000,208 sunview st,0.787,,31,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155389334380269"">link</a>"
142679255268_10155346661365269,"[NOT TAKING ANY MORE REQUESTS]

Subletting 1 room fall 2017 and/or winter 2018. 181 lester st. Large room, furnished with ensuite bathroom. Utilities and wifi included. 5-7 min walk to UW and WLU. Message for price!",2017-08-29T07:50:07+0000,181 lester st,0.698,,31,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155346661365269"">link</a>"
142679255268_10155235774745269,"Fall sublet available in Icon (ensuite room)
-20th floor
-private washroom
-2 other quiet female roommates
-female only unit please!

Please message me if you're interested.  Thanks!",2017-07-10T13:28:19+0000,icon,0.761,,30,"<a href=""https://www.facebook.com/groups/142679255268/permalink/10155235774745269"">link</a>"
110354088989367_1611834675507960,"6 Rooms available at 114 Columbia St W
$475 - Waterloo, Ontario

*****DEAL FOR GROUPS OF 6 - $2850 all inclusive per month for the house*****
House is being renovated for the month of August, will have new furnishings starting september
1 year lease only
6 spacious rooms available
3 Walk-in unit(upstairs)- $500-525 based on room's size
3 Downstairs unit- $475 
Utilities are included in the price

Other rooms available at:
2 rooms available at 390 albert st

3 at 275 lester st

5 at 267 lester st",2017-09-05T00:51:20+0000,114 columbia st w,1.044,$475,29,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1611834675507960"">link</a>"
110354088989367_1647582648599829,"SUBLET/LEASE TAKEOVER @ 208 SUNVIEW
FREE - Waterloo, Ontario

1/5 bedrooms with quiet, clean roommates

Short walk to UW campus 
Night time security 
FREE unlimited high speed Internet 
On-site parking and laundry 
Fully furnished with dishwasher 
Seconds away from the 7, 8, 9, 12, and 29 

Price negotiable!! Contact for more details",2017-08-29T17:48:16+0000,208 sunview,0.787,,28,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1647582648599829"">link</a>"
110354088989367_1586484334709661,"Fall Sublet/ Lease
$500 - City of Waterloo

Sublet for Fall / Lease
156 Westcourt Place. 
A well developed place; will easily get a Sublet in any term if you take a lease. It's 3 min walk to UW. Right on the intersection of Westmount & University Ave. Price negotiable. 
Ps. Ignore the current situation of the rooms😅",2017-08-14T04:33:44+0000,156 westcourt place,0.826,$500,27,"<a href=""https://www.facebook.com/groups/110354088989367/permalink/1586484334709661"">link</a>"
