date posted (GMT),title,address,distance (km),price,post_url
"September 8, 2017 11:29 AM",2 BEDROOMS @ 57 Columbia St W * 1 MONTH FREE * Furnished,"57 Columbia St W, Waterloo, ON, N2L 3K4",1.387,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/2-bedrooms-57-columbia-st-w-1-month-free-furnished/1223871058"">link</a>"
"August 13, 2017 5:21 PM",LAST ROOM IS STUDENT HOUSING *females preferred,"Waterloo, ON N2L4B6",2.372,$480.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/last-room-is-student-housing-females-preferred/1289186241"">link</a>"
"August 26, 2017 6:52 AM",Rooms available in the house Walking distance to both UW & WLU,"69 Cardill Crescent, Waterloo, ON N2L 3Y7, Canada",1.362,$425.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-available-in-the-house-walking-distance-to-both-uw-wlu/1292519363"">link</a>"
"August 20, 2017 8:20 PM",SEPT 2017 STUDENT LEASE TAKEOVER,"64 Marshall St, Waterloo, ON N2J 2T4, Canada",1.721,$710.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/sept-2017-student-lease-takeover/1291088393"">link</a>"
"August 12, 2017 4:43 PM",SEEKING SUBLET FOR NICE EXTRA LARGE ROOM,"21 Columbia St W, Waterloo, ON N2L 3K4, Canada",1.639,$665.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/seeking-sublet-for-nice-extra-large-room/1288918879"">link</a>"
"August 23, 2017 3:45 PM",Sage Condos Ivy Towns 3 Waterloo 4 month lease Jan-May 2018,"336 Albert St, Waterloo, ON N2L 3T8, Canada",1.058,Please Contact,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/sage-condos-ivy-towns-3-waterloo-4-month-lease-jan-may-2018/1291817154"">link</a>"
"September 2, 2017 5:46 PM",ROOM & MEALS /PRIVATE ROOM & OWN BATHROOM FOR RENT,"Waterloo, ON N2T2N5",3.166,"$1,250.00","<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/room-meals-private-room-own-bathroom-for-rent/1244048540"">link</a>"
"August 14, 2017 2:44 PM",FEMALES room for rent close by WLU,"117 Noecker St, Waterloo, ON N2J 2R9, Canada",2.006,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/females-room-for-rent-close-by-wlu/1289398627"">link</a>"
"August 28, 2017 9:37 PM",Looking for Mature Student or Young Working Professional,"Waterloo, ON N2J2P2",2.7,$590.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/looking-for-mature-student-or-young-working-professional/1293197645"">link</a>"
"September 2, 2017 5:23 AM",FOR ANYONE STILL LOOKING FOR A PLACE TO RENT,"202 Lester St, Waterloo, ON N2L 3W4, Canada",0.696,$635.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/for-anyone-still-looking-for-a-place-to-rent/1294314077"">link</a>"
"September 4, 2017 3:32 PM",Rooms in new semi-detached house available Sept 15th,"Waterloo, ON N2T",3.022,$550.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-in-new-semi-detached-house-available-sept-15th/1294898682"">link</a>"
"August 15, 2017 5:11 PM",Rooms for rent! Between UoW and WLU,"253 Sunview St, Waterloo, ON N2L 3V8, Canada",0.756,$425.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-for-rent-between-uow-and-wlu/1289758591"">link</a>"
"September 6, 2017 10:53 PM",Large Room for Rent near Universities In Kitchener Waterloo ',"125 Lincoln Rd, Waterloo, ON N2J 2N9, Canada",2.335,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/large-room-for-rent-near-universities-in-kitchener-waterloo/1295625109"">link</a>"
"August 21, 2017 5:20 PM",Rooms for Rent Hazel St.,"313 Old Post Rd, Waterloo, ON N2L 5P3, Canada",1.334,$450.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/rooms-for-rent-hazel-st/1291297169"">link</a>"
"September 9, 2017 2:20 AM",511 Albert Street - 4 Bedroom Apartments,"511 Albert St, Waterloo, ON N2L 5A7, Canada",1.942,$400.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/511-albert-street-4-bedroom-apartments/588000112"">link</a>"
